Alpha,Attack,NC,Watermark_PSNR_dB,Watermark_SSIM,Watermark_MSE
2,CropResize_75Pct,0.475385542750155,4.02278900808338,0.00538556751829024,0.396023629035073
2,GaussianNoise,0.623479364997386,5.4596876064851,0.0957086841262069,0.284466572049273
2,JPEG_Q50,0.567374021757667,5.52841079951609,0.0216970768884401,0.28000057297063
2,JPEG_Q70,0.599096809064518,5.88849385087596,0.0405792163104543,0.257721478953732
2,JPEG_Q90,0.921386339515579,12.725493729937,0.264555538613691,0.0533888574724089
2,MedianFilter3x3,0.56958180868777,5.53759906667519,0.0622538313070944,0.27940880849455
2,SaltPepperNoise,0.92401591440635,12.591466410207,0.352141141307311,0.0550621745693597
4,CropResize_75Pct,0.488854222147354,4.29416335166485,-0.0012504060519387,0.372034885067548
4,GaussianNoise,0.79518077139408,8.47583037052212,0.198011523599651,0.142042060264832
4,JPEG_Q50,0.607527258627387,6.07429770621965,0.0401309174010505,0.246927937761492
4,JPEG_Q70,0.642750158787832,6.44977527272974,0.070179028088733,0.226476149547412
4,JPEG_Q90,0.955831992896696,15.0370111714468,0.340693278076084,0.0313544280376953
4,MedianFilter3x3,0.430381665546763,4.19372707299829,-0.0391169006345835,0.380738936696457
4,SaltPepperNoise,0.930475969614679,13.0016825371707,0.360650193389856,0.0500993102028133
6,CropResize_75Pct,0.492789621856478,4.37478387138558,-0.00235812665579354,0.365192300762751
6,GaussianNoise,0.893606963179974,11.411692717,0.277091648582615,0.0722488149934167
6,JPEG_Q50,0.627474240415402,6.32706639231001,0.0597901426641177,0.232966438693868
6,JPEG_Q70,0.939217395867578,13.7793184447356,0.295960259473394,0.0418859293182394
6,JPEG_Q90,0.984912084272958,19.4318490112387,0.438537752748773,0.0113976442889066
6,MedianFilter3x3,0.340931153680348,3.31713827572998,-0.0920886551398931,0.465892986231037
6,SaltPepperNoise,0.942843164123561,13.8719898588109,0.38601769691407,0.0410016197932307
8,CropResize_75Pct,0.49532138065861,4.42977841292252,-0.0023452373139513,0.360597041046348
8,GaussianNoise,0.938478624853934,13.7516102257713,0.327111147918727,0.0421540180762598
8,JPEG_Q50,0.945805778804654,14.2841339015347,0.569197519170701,0.0372895042696975
8,JPEG_Q70,0.97527025785649,17.5930767159338,0.491313354447581,0.0174057334467978
8,JPEG_Q90,0.997149843814491,26.8213352512571,0.836640467082461,0.00207905737647703
8,MedianFilter3x3,0.275876899061733,2.6753416764296,-0.121567692537214,0.540089622133318
8,SaltPepperNoise,0.945966568770655,14.1311004286888,0.393912562872214,0.0386269090605388
10,CropResize_75Pct,0.497017872036614,4.46664879311973,-0.00216814602829811,0.357548631951958
10,GaussianNoise,0.961980068463196,15.7706448531934,0.363578224546759,0.0264810691072725
10,JPEG_Q50,0.95901986310599,15.4647867593825,0.407080855496892,0.0284132769207403
10,JPEG_Q70,0.97777730090881,17.9355881610672,0.393517090015935,0.0160857451535297
10,JPEG_Q90,0.997870350848532,28.055136410448,0.942282486180511,0.00156489916549217
10,MedianFilter3x3,0.228638266109885,2.20516821199341,-0.138075493560464,0.601842951720766
10,SaltPepperNoise,0.952866155679365,14.7389261596208,0.41208925088653,0.0335820639286561
